Country,Country Code,Year,Currency,budget_deficit,budget_deficitsurplus,budget_surplus,capital_expenditure,consumer_price_index_cpi,defence_expenditure,education_expenditure,expenditure,exports,food_inflation_yoy,gdp_growth_rate,gdp_per_capita,government_debt,health_expenditure,imports,interest_rate,labour_force,nominal_gdp,population,real_gdp,revenue,tax_revenue,unemployment_rate,value_added_tax_vat
Algeria,DZA,1977,USD,,,,,,,,,6.0,,,,,,-6.21,,,,,,,,,
Algeria,DZA,1978,USD,,,,,,,,,6.3,,,,,,-7.32,,,,,,,,,
Algeria,DZA,1979,USD,,,,,,,,,9.5,,,,,,-7.82,,,,,,,,,
Algeria,DZA,1980,USD,,,,,,,,,13.7,,,,,,-9.61,,,,,,,,,
Algeria,DZA,1981,USD,,,,,,,,,14.1,,,,,,-10.11,,,,,,,,,
Algeria,DZA,1982,USD,,,,,,,,,13.5,,,,,,-9.92,,,,,,,,,
Algeria,DZA,1983,USD,,,,,,,,,12.7,,,,,,-9.54,,,,,,,,,
Algeria,DZA,1984,USD,,,,,,,,,12.8,,,,,,-9.24,,,,,,,,,
Algeria,DZA,1985,USD,,,,,,,,,13.0,,,,,,-8.81,,,,,,,,,
Algeria,DZA,1986,USD,,,,,,,,,8.1,,,,,,-8.53,,,,,,,,,
Algeria,DZA,1987,USD,,,,,,,,,9.0,,,,,,-7.27,,,,,,,,,
Algeria,DZA,1988,USD,,,,,,,,,7.6,,,,,,-7.69,,,,,,,,,
Algeria,DZA,1989,USD,,,,,,,,,9.6,,,,,,-9.47,,,,,,,,,
Algeria,DZA,1990,USD,,,,,,,,,12.9,,,,,,-9.77,,,,,,,,,
Algeria,DZA,1991,USD,,,,,,,,,12.4,,,,,,-7.77,,,,,,,,,
Algeria,DZA,1992,USD,,,,,,,,,11.5,,,,,,-8.3,,,,,,,,,
Algeria,DZA,1993,USD,,,,,,,,,10.4,,,,,,-7.99,,,,,,,,,
Algeria,DZA,1994,USD,,,,,,,,,8.9,,,,,,-9.15,,,,,,,,,
Algeria,DZA,1995,USD,,,,,,,,,10.3,,,,,,-10.1,,,,,,,,,
Algeria,DZA,1996,USD,,,,,,,,,13.2,,,,,,-9.09,,,,,,,,,
Algeria,DZA,1997,USD,,,,,,,,,13.8,,,,,,-8.13,,,,,,,,,
Algeria,DZA,1998,USD,,,,,,,,,10.1,,,,,,-8.63,,,,,,,,,
Algeria,DZA,1999,USD,,,,,,,,,12.3,,,,,,-8.96,,,,,,,,,
